roc_auc,pr_auc,precision,recall,f1,run,model
0.9532265693066063,0.8792593123268566,0.8149394347240915,0.7679137603043754,0.7907280444009142,1,LogReg_Tuned
0.9551729294225105,0.8804635823779012,0.8208248816768087,0.7698161065313888,0.7945026178010471,2,LogReg_Tuned
0.9596338159138452,0.8921604781311213,0.8204620462046205,0.7882054533925175,0.8040103492884865,3,LogReg_Tuned
0.9569699003780751,0.8919121515496589,0.8321917808219178,0.7704502219403931,0.8001317089232796,4,LogReg_Tuned
0.9571420850052996,0.8908291221787387,0.8287858117326057,0.7704502219403931,0.7985540584949063,5,LogReg_Tuned
0.9277234597325246,0.7993596050392124,0.7925867507886435,0.637285986049461,0.7065026362038664,1,DecisionTree_Tuned
0.9278745693054593,0.8087229998117301,0.772888573456352,0.6905516804058338,0.7294038847957133,2,DecisionTree_Tuned
0.9357164249654233,0.8232741978083817,0.7757909215955984,0.7152821813570069,0.744308808973936,3,DecisionTree_Tuned
0.9314927403606357,0.8095530754657404,0.7628726287262872,0.7140139505389981,0.737635113003603,4,DecisionTree_Tuned
0.9327613295979352,0.8138285052844731,0.8082191780821918,0.673430564362714,0.7346938775510204,5,DecisionTree_Tuned
