roc_auc,pr_auc,precision,recall,f1,run,model
0.9477183099641566,0.8646376457870458,0.8019867549668874,0.7679137603043754,0.7845804988662132,1,LogReg_Baseline
0.9480595968127061,0.8669950373391501,0.8093959731543624,0.7647431832593532,0.7864362569285948,2,LogReg_Baseline
0.9527528823720935,0.8732101015600539,0.8117958913187542,0.7767913760304376,0.7939079714841218,3,LogReg_Baseline
0.9498690407595851,0.8751406823567947,0.8128378378378378,0.7628408370323398,0.7870461236506379,4,LogReg_Baseline
0.9524085131176443,0.8725262970235578,0.8227762803234502,0.7742549143944197,0.7977785037569421,5,LogReg_Baseline
0.7818025795006245,0.5441034805266712,0.6769911504424779,0.6791376030437539,0.6780626780626781,1,DecisionTree_Baseline
0.7853511455295581,0.5542987852080286,0.6928062216461439,0.6778693722257451,0.6852564102564103,2,DecisionTree_Baseline
0.7813671717463521,0.5476252635302595,0.6865284974093264,0.6721623335447051,0.6792694649150913,3,DecisionTree_Baseline
0.792171864630482,0.55974047304293,0.6892655367231638,0.6962587190868738,0.6927444794952682,4,DecisionTree_Baseline
0.7909892960229365,0.5623709860780247,0.6981981981981982,0.6880152187698161,0.693069306930693,5,DecisionTree_Baseline
0.9165272296152973,0.8015755015924539,0.8111425873465533,0.544705136334813,0.6517450682852808,1,KNN_Baseline
0.9222954146273205,0.8151275713307016,0.8377581120943953,0.5402663284717819,0.6569005397070162,2,KNN_Baseline
0.9302694553216734,0.8330734066186521,0.8435185185185186,0.5776791376030438,0.685735792246895,3,KNN_Baseline
0.9275451102935008,0.8333062721180019,0.8427382053654024,0.5776791376030438,0.6854778028592927,4,KNN_Baseline
0.926925761759271,0.8224755275809892,0.8468125594671742,0.5643627140139506,0.6773211567732116,5,KNN_Baseline
