roc_auc,pr_auc,precision,recall,f1,run,model
0.9463196862082119,0.8583110500111697,0.7891963109354414,0.7596702599873177,0.7741518578352181,1,RandomForest
0.9499367820055165,0.8704363902252598,0.7930582842174198,0.7679137603043754,0.7802835051546392,2,RandomForest
0.9547031134163366,0.8825765243631165,0.7931253978357734,0.7901077996195307,0.7916137229987293,3,RandomForest
0.951023007507737,0.8759523822221866,0.8063002680965148,0.7628408370323398,0.7839687194525904,4,RandomForest
0.9533495788071549,0.8725465477957962,0.8148639681486397,0.7786937222574508,0.7963683527885862,5,RandomForest
0.9511613573539252,0.8743110561474131,0.7967741935483871,0.7831325301204819,0.7898944675407739,1,HistGradientBoosting
0.9546849057163719,0.8854056468641026,0.8136482939632546,0.7863031071655041,0.799742018703644,2,HistGradientBoosting
0.9583271625478794,0.8954570110277026,0.8031545741324921,0.8072289156626506,0.8051865907653384,3,HistGradientBoosting
0.954485194487626,0.8847852892316651,0.8152101400933957,0.7748890298034242,0.7945383615084526,4,HistGradientBoosting
0.9561052496813295,0.8887937461154731,0.8223249669749009,0.7894736842105263,0.8055645422193465,5,HistGradientBoosting
