roc_auc,pr_auc,precision,recall,f1,run,model
0.9532284330869176,0.8792821019825475,0.8153638814016172,0.7672796448953709,0.7905913100294022,1,LR_Unweighted
0.9551742197319568,0.8804620265025661,0.8208248816768087,0.7698161065313888,0.7945026178010471,2,LR_Unweighted
0.9596312352949525,0.8921248872030774,0.8204620462046205,0.7882054533925175,0.8040103492884865,3,LR_Unweighted
0.9569776422347529,0.8919161381853931,0.8327621658670322,0.7704502219403931,0.8003952569169961,4,LR_Unweighted
0.9571362069289331,0.8908033119156108,0.8277739959155889,0.7710843373493976,0.7984241628365069,5,LR_Unweighted
0.9479881280061522,0.8645095301464123,0.7265584075432163,0.8795180722891566,0.795754446356856,1,LR_WeightedBalanced
0.94818547366758,0.8656727601266063,0.7327677624602333,0.8763474952441345,0.7981518914236211,2,LR_WeightedBalanced
0.9523231376426131,0.8720958876905014,0.7301255230125523,0.8852251109701966,0.8002292920607624,3,LR_WeightedBalanced
0.9499747027664665,0.8748514733753596,0.7261842790213431,0.8845909955611921,0.7975986277873071,4,LR_WeightedBalanced
0.9521052903977608,0.8727831317566519,0.7318109399893786,0.8738110336081166,0.7965317919075144,5,LR_WeightedBalanced
0.9230292422829818,0.7927667728877549,0.7833583208395802,0.6626506024096386,0.7179663345929234,1,DT_Unweighted
0.9245558934095439,0.806958874075657,0.7644710578842315,0.7285986049461002,0.7461038961038962,2,DT_Unweighted
0.9339611740152896,0.817168415285459,0.7441441441441441,0.7856689917564997,0.7643429981492905,3,DT_Unweighted
0.9261148739561216,0.8087257193558379,0.7470551766893986,0.7641090678503487,0.7554858934169278,4,DT_Unweighted
0.9301388473321632,0.8113332518336084,0.7944693572496263,0.6740646797717185,0.7293310463121784,5,DT_Unweighted
0.7690928880867306,0.5317064979168383,0.6777188328912467,0.6480659480025365,0.6625607779578606,1,DT_WeightedBalanced
0.7767243516230874,0.5418537605921067,0.6839005235602095,0.6626506024096386,0.6731078904991948,2,DT_WeightedBalanced
0.784112950248105,0.5467331393811161,0.6777638190954773,0.6842105263157895,0.6809719154307352,3,DT_WeightedBalanced
0.7676012186829352,0.5274940971825178,0.6708196721311476,0.6487000634115409,0.6595744680851063,4,DT_WeightedBalanced
0.767822004965971,0.5321882660893441,0.6821548821548822,0.6423589093214965,0.6616590463749183,5,DT_WeightedBalanced
